"ID"	"feed"	"time"	"text1"	"text2"
3477468	"fr_CAN_jmontr_int"	"2014-10-31 04:05:11"	"Burkina Faso: l'armée prend le pouvoir, Compaoré refuse de partir"	"L'armée a pris le pouvoir jeudi soir au Burkina Faso, annonçant la dissolution du gouvernement et de l'Assemblée et instaurant un couvre-feu, après une journée d'émeute contre le régime de Blaise Compaoré, au pouvoir depuis 27 ans."
3477832	"fr_CAN_jmontr_int"	"2014-10-31 05:05:14"	"Syrie: les peshmergas patientent près de Kobané"	"Une délégation de combattants kurdes irakiens s'est rendue jeudi à Kobané pour discuter de l'entrée dans cette ville kurde syrienne, assiégée par les jihadistes, des dizaines de peshmergas qui patientent du côté turc de la frontière."
3480131	"fr_CAN_jmontr_int"	"2014-10-31 10:05:28"	"Compaoré promet une transition mais refuse de démissionner"	"Le président Blaise Compaoré a promis une transition au Burkina Faso mais refusé de démissionner, alors que l'armée dit avoir pris le pouvoir, au lendemain de violentes émeutes contre le régime."
3480130	"fr_CAN_jmontr_int"	"2014-10-31 10:05:28"	"Le Parlement examinera un amendement constitutionnel permettant à Suu Kyi de devenir présidente"	"Un éventuel amendement de la Constitution birmane, qui empêche pour l'heure l'opposante Aung San Suu Kyi de devenir présidente, sera discuté au Parlement, a annoncé la présidence vendredi, à la fin d'un sommet politique inédit."
3480623	"fr_CAN_jmontr_int"	"2014-10-31 11:05:38"	"Étude d'un amendement constitutionnel pour Suu Kyi"	"Un éventuel amendement de la Constitution birmane, qui empêche pour l'heure l'opposante Aung San Suu Kyi de devenir présidente, sera discuté au Parlement, a annoncé la présidence vendredi, à la fin d'un sommet politique inédit."
3482491	"fr_CAN_jmontr_int"	"2014-10-31 14:05:40"	"Incendie à la Maison de la radio"	"Un important incendie était en cours vendredi en début d’après-midi à la Maison de la radio, à Paris."
3483204	"fr_CAN_jmontr_int"	"2014-10-31 15:05:43"	"Berlin, Paris et Kiev appellent Moscou à ne pas reconnaître le vote séparatiste"	"L'Allemagne, la France et l'Ukraine ont appelé la Russie à ne pas reconnaître les élections organisées ce dimanche par les rebelles prorusses dans l'est de l'Ukraine, a indiqué vendredi la présidence ukrainienne."
3483205	"fr_CAN_jmontr_int"	"2014-10-31 15:05:43"	"Madrid saisit le tribunal constitutionnel contre un vote symbolique sur l'indépendance"	"Le gouvernement espagnol a décidé de saisir le tribunal constitutionnel pour interdire la tenue d'une consultation symbolique sur l'indépendance de la Catalogne prévue par le gouvernement régional le 9 novembre après l'interdiction d'un référendum, a-t-il annoncé vendredi."
3483203	"fr_CAN_jmontr_int"	"2014-10-31 15:05:43"	"Compaoré annonce qu'il quitte le pouvoir"	"Le président du Burkina Faso Blaise Compaoré a annoncé vendredi qu'il quittait le pouvoir, après 27 ans à la tête du pays, dans un communiqué lu sur une télévision locale."
3484610	"fr_CAN_jmontr_int"	"2014-10-31 17:05:56"	"MH17 : les Pays-Bas rassemblent de nouveaux restes humains sur le site du crash"	"LA HAYE - Des enquêteurs néerlandais ont rassemblé vendredi de nouveaux restes humains sur le lieu du crash de l'avion du vol MH17 dans l'est de l'Ukraine, où des recherches ont été faites malgré des combats sporadiques dans la région, a annoncé le premier ministre néerlandais Mark Rutte."
3485969	"fr_CAN_jmontr_int"	"2014-10-31 19:06:12"	"Compaoré annonce qu'il quitte le pouvoir"	"Chassé par la rue, le président du Burkina Faso, Blaise Compaoré, a quitté le pouvoir vendredi après 27 ans de règne, et le chef d'état-major s'est aussitôt proclamé chef de l'Etat."
3486518	"fr_CAN_jmontr_int"	"2014-10-31 20:06:19"	"Le vaisseau spatial SpaceShipTwo s'est écrasé"	"Le vaisseau spatial SpaceShipTwo de Virgin Galactic s'est écrasé, affirme le site d'informations californien Kern Golden Empire, citant le directeur de la base aérienne et spatiale du Mojave Stu Witt."
3487056	"fr_CAN_jmontr_int"	"2014-10-31 21:06:27"	"Les parents américains se tournent vers les tribunaux pour chasser les pommes pourries"	"Un jugement controversé en<U+2008>Californie ouvre la porte au congédiement des mauvais professeurs. Cette décision pourrait faire boule de neige dans le reste du pays."
