"ID"	"feed"	"time"	"text1"	"text2"	"TAG_country"	"TAG_ebola"
79592	"en_AUS_austra_int"	"2014-01-02 15:45:52"	"Stranded travellers rescued at last"	"A COMPLICATED, five-hour rescue was mounted late yesterday for 42 people stranded on an ice-locked Russian research vessel in Antarctica."	""	""
79593	"en_AUS_austra_int"	"2014-01-02 15:45:52"	"Rwandan strangled in exile"	"A FORMER head of Rwanda's external intelligence service has been found strangled in a hotel in South Africa."	"RWA"	""
79594	"en_AUS_austra_int"	"2014-01-02 15:45:52"	"Luxury shanty where rich can feel poor"	"SOUTH Africans are paying $90 a night to get a taste of poverty."	""	""
79595	"en_AUS_austra_int"	"2014-01-02 15:45:52"	"Snap! Your phone has been hacked"	"A SMARTPHONE app that can send embarrassing photos and videos that disappear once viewed has been hacked."	""	""
81780	"en_AUS_austra_int"	"2014-01-02 22:45:49"	"Ariel Sharon's 'vital organs' failing"	"FORMER Israeli prime minister Ariel Sharon's ""vital organs"" are failing, said the hospital where he has been comatose for eight years."	"ISR"	""
82092	"en_AUS_austra_int"	"2014-01-02 23:45:48"	"Schumacher to turn 45 while comatose"	"FORMULA One legend Michael Schumacher is to turn 45 today while lying comatose in a French hospital after a ski accident."	""	""
82592	"en_AUS_austra_int"	"2014-01-03 02:42:09"	"NSA eyes ultimate codebreaker"	"THE US National Security Agency is making strides toward building a ""quantum computer"" that could break nearly any kind of encryption."	"USA"	""
82593	"en_AUS_austra_int"	"2014-01-03 02:42:09"	"After court, Nigella beat a sweet retreat"	"NIGELLA Lawson resorted to chocolate to get through Christmas, upset at the fallout of the trial of her former maids."	""	""
82967	"en_AUS_austra_int"	"2014-01-03 03:42:08"	"Maggie's bouffant had its own schedule"	"MARGARET Thatcher's bouffant took intensive efforts to perfect, with the late British prime minister having her 'do reworked every three days."	""	""
86300	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"It's compromise or collapse: Kerry"	"WASHINGTON has made clear that the time has arrived for both sides in the Israeli-Palestinian conflict to compromise."	""	""
86301	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Cloud over NSA uber-computer"	"THE National Security Agency is making strides towards building a ""quantum computer"" that could break nearly any kind of encryption."	"USA"	""
86302	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Singh will step down as PM for Gandhi"	"INDIA'S PM Manmohan Singh says he will step down after elections due this year even if his party defies predictions and sweeps to power."	"IND"	""
86303	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Civil war cover for Hezbollah missiles"	"THE anti-Israel group is using Syrian unrest to expand its own arsenal."	"LBN"	""
86304	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Northeastern US blanketed with snow"	"A WINTER storm hit the northeast states of America last night, dropping nearly 60cm of snow."	"USA"	""
86305	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"South Sudan peace talks under way"	"SOUTH Sudan's warring parties opened negotiations last night to end nearly three weeks of raging conflict in which thousands are feared dead."	"SSD"	""
86305	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"South Sudan peace talks under way"	"SOUTH Sudan's warring parties opened negotiations last night to end nearly three weeks of raging conflict in which thousands are feared dead."	"SDN"	""
86306	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Grocery chain foxed by donkey-meat"	"DONKEY meat has had to be recalled in China after tests showed the products contained fox DNA."	""	""
86307	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Gates campaign deemed futile"	"ONE of America's biggest philanthropists told Bill Gates his bid to get the world's rich to give away most of their wealth was worthless."	""	""
86308	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Killings fall in biggest US cities"	"THE number of murders fell sharply in the five largest US cities last year as the long-term decline in crime rates continued."	"USA"	""
86309	"en_AUS_austra_int"	"2014-01-03 15:42:00"	"Army and tribesmen unite in clashes"	"IRAQI forces backed by tribesmen battled jihadis yesterday after they seized parts of two Sunni-majority cities."	""	""
90127	"en_AUS_austra_int"	"2014-01-04 05:41:52"	"Everly brother dies aged 74"	"SINGER Phil Everly, of the hit duo the Everly Brothers, has died at the age of 74."	""	""
90547	"en_AUS_austra_int"	"2014-01-04 07:41:50"	"The Marines test women can't pass"	"THE US Marine Corps has scrapped a key test of physical strength for women recruits after finding that most could not do three pull-ups."	""	""
