ISLAS COOK	Dólar neozelandés	NZD	554
ISLAS FEROE	Corona danesa	DKK	208
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR	Sin moneda universal		
ISLAS MALVINAS	Libra malvinense	FKP	238
ISLAS MARIANAS DEL NORTE	Dólar Americano	USD	840
ISLAS MARSHALL	Dólar americano	USD	840
ISLAS SALOMÓN	Dólar de las Islas Salomón	SBD	090
ISLAS VIRGENES (EE.UU.)	Dólar Americano	USD	840
ISLAS VÍRGENES (BRITÁNICA)	Dólar Americano	USD	840
ISRAEL	Nuevo Shekel Israelí	ILS	376
ITALIA	Euro	EUR	978
JAMAICA	Dólar jamaiquino	JMD	388
JAPÓN	Yen	JPY	392
JERSEY	Libra esterlina	GBP	826
JORDANIA	Dinar jordano	JOD	400
KAZAJSTÁN	Tenge	KZT	398
KENIA	Chelín keniano	KES	404
KIRGUISTÁN	Som	KGS	417
KIRIBATI	Dólar australiano	AUD	036
KUWAIT	Dinar kuwaití	KWD	414
LAO REPÚBLICA DEMOCRÁTICA POPULAR	Kip	LAK	418
LESOTHO	Loti	LSL	426
LESOTHO	Rand	ZAR	710
LETONIA	Euro	EUR	978
LIBERIA	Dólar liberiano	LRD	430
LIBIA	Dinar libio	LYD	434
LIECHTENSTEIN	Franco suizo	CHF	756
LITUANIA	Euro	EUR	978
LUXEMBOURG	Euro	EUR	978
LÍBANO	Libra libanesa	LBP	422
MACAO	Pataca	MOP	446
MACEDONIA (Ex República Yugoslava)	Denar	MKD	807
MADAGASCAR	Ariary malgache	MGA	969
MALASIA	Ringgit malayo	MYR	458
MALAWI	Kwacha	MWK	454
MALDIVAS	Rufiyaa	MVR	462
MALTA	Euro	EUR	978
MALÍ	Franco CFA BCEAO	XOF	952
MARRUECOS	Dirham marroquí	MAD	504
MARTINICA	Euro	EUR	978
MAURICIO	Rupia de Mauricio	MUR	480
MAURITANIA	Ouguiya	MRO	478
MAYOTTE	Euro	EUR	978
MICRONESIA (ESTADOS FEDERADOS DE)	Dólar americano	USD	840
MOLDAVIA	Leu moldavo	MDL	498
MONGOLIA	Tugrik	MNT	496
MONTENEGRO	Euro	EUR	978
MONTSERRAT	Dólar del Caribe Oriental	XCD	951
MOZAMBIQUE	Metical mozambiqueño	MZN	943
MYANMAR	Kyat	MMK	104
MÉXICO	Peso MexicanO	MXN	484
MÉXICO	Unidad de Inversion Mexicana (UDI)	MXV	979
MÓNACO	Euro	EUR	978
NAMIBIA	Dólar de Namibia	NAD	516
NAMIBIA	Rand	ZAR	710
NAURU	Dólar australiano	AUD	036
NEPAL	Rupia nepalí	NPR	524
NICARAGUA	Cordoba Oro	NIO	558
NIGER	Franco CFA BCEAO	XOF	952
NIGERIA	Naira	NGN	566
NIUE	Dólar neozelandés	NZD	554
NORUEGA	Corona noruega	NOK	578
NUEVA CALEDONIA	Franco CFP	XPF	953
