"ID_Flux"	"Langue_code"	"Pays_code"	"jrnl_code"	"Type_flux"	"Journal_Name"	"Type_periodique"	"ville_code"	"ville_Name"	"UTC.GMT"	"Olson_zone"	"URL"	"Name_Flux"	"X2014.01.01"	"X2015.06.30"	"NbItems_raw"	"MeanDay_Item_Raw"	"MedianDay_Item_raw"	"ModeDay_Item_raw"	"SDDay_Item_raw"	"min_date"	"max_date"	"NbItems_clean"	"Nb_Duplicate_T1andT2_0"	"NbItems_Unique_T1andT2_0"	"Word_Approx_found_PaysV4_T1"	"TAG_found_PaysV4_T1"	"Nb_item_tagguer_dico_PaysV4_Approx_T1"	"Word_Approx_found_Ebola_T1"	"TAG_found_Ebola_T1"	"Nb_item_tagguer_dico_Ebola_Approx_T1"
15973	"en"	"ZWE"	"chroni"	"int"	"Chronicle"	"quotidien"	"blw"	NA	NA	NA	"http://www.chronicle.co.zw"	"en_ZWE_chroni_int"	"Inactif"	"Actif"	2682	7	"7"	19	3	"2014-01-21"	"2015-06-30"	2682	1	2681	2121	2053	1731	"112"	"112"	"112"
764015	"es"	"ARG"	"nacion"	"int"	"La Nacion"	"quotidien"	"bna"	NA	NA	NA	"http://www.lanacion.com.ar/"	"es_ARG_nacion_int"	"Inactif"	"Actif"	8509	19	"18"	53	6	"2014-03-21"	"2015-06-30"	8509	453	8056	7300	6571	5312	"170"	"170"	"170"
1037	"es"	"BOL"	"larazo"	"int"	"La Razon"	"quotidien"	"paz"	NA	NA	NA	"http://www.la-razon.com/"	"es_BOL_larazo_int"	"Actif"	"Actif"	6454	13	"13"	41	6	"2014-01-01"	"2015-06-30"	6454	24	6430	6124	5684	4738	"132"	"132"	"132"
756856	"es"	"BOL"	"patria"	"int"	"La patria"	"quotidien"	"oru"	NA	NA	NA	"http://lapatriaenlinea.com"	"es_BOL_patria_int"	"Inactif"	"Actif"	4920	11	"10"	31	5	"2014-03-20"	"2015-06-30"	4920	6	4914	4414	4191	3497	"143"	"143"	"143"
875682	"es"	"CHL"	"mercur"	"int"	"El mercurio"	"quotidien"	"san"	NA	NA	NA	"http://www.emol.com/"	"es_CHL_mercur_int"	"Inactif"	"Inactif"	12338	31	"31"	55	7	"2014-04-02"	"2015-06-04"	12338	31	12307	15960	14391	10733	"545"	"545"	"545"
876159	"es"	"CHL"	"tercer"	"int"	"La Tercera"	"quotidien"	"san"	NA	NA	NA	"http://www.latercera.com/"	"es_CHL_tercer_int"	"Inactif"	"Actif"	12155	28	"28"	55	8	"2014-04-02"	"2015-06-30"	12155	1468	10687	12495	11193	8743	"196"	"196"	"196"
767325	"es"	"ESP"	"catalu"	"int"	"El periodico de Catalunya"	"quotidien"	"bar"	NA	NA	NA	"http://www.elperiodico.com/es/"	"es_ESP_catalu_int"	"Inactif"	"Actif"	8359	19	"18"	57	9	"2014-03-21"	"2015-06-30"	8359	52	8307	7678	7188	5797	"60"	"60"	"60"
766466	"es"	"ESP"	"elpais"	"int"	"El Pais"	"quotidien"	"mad"	NA	NA	NA	"http://elpais.com/"	"es_ESP_elpais_int"	"Inactif"	"Actif"	16725	37	"32"	136	21	"2014-03-21"	"2015-06-30"	16725	4236	12489	11775	11022	8685	"80"	"80"	"80"
763910	"es"	"MEX"	"jormex"	"int"	"La Jordana (Mex)"	"quotidien"	"mex"	NA	NA	NA	"http://www.jornada.unam.mx/"	"es_MEX_jormex_int"	"Inactif"	"Actif"	3811	9	"8"	22	2	"2014-03-21"	"2015-06-30"	3811	28	3783	3485	3221	2697	"9"	"9"	"9"
763300	"es"	"MEX"	"univer"	"int"	"El Universal"	"quotidien"	"mex"	NA	NA	NA	"http://www.eluniversal.com.mx/"	"es_MEX_univer_int"	"Inactif"	"Actif"	19991	44	"44"	84	13	"2014-03-21"	"2015-06-30"	19991	162	19829	18153	17197	14392	"895"	"895"	"895"
874966	"es"	"VEN"	"univer"	"int"	"El Universal (VEN)"	"quotidien"	"car"	NA	NA	NA	"http://www.eluniversal.com/"	"es_VEN_univer_int"	"Inactif"	"Actif"	24239	55	"54"	103	14	"2014-04-02"	"2015-06-30"	24239	158	24081	26212	24241	19459	"678"	"678"	"678"
1056291	"fr"	"BEL"	"derheu"	"int"	"Dernière Heure"	"quotidien"	"brx"	NA	NA	NA	"http://www.dhnet.be/"	"fr_BEL_derheu_int"	"Inactif"	"Actif"	4685	11	"9"	58	7	"2014-04-12"	"2015-06-30"	4685	36	4649	4069	3760	3066	"96"	"96"	"96"
165	"fr"	"BEL"	"lesoir"	"int"	"Le soir"	"quotidien"	"brx"	NA	NA	NA	"http://www.lesoir.be"	"fr_BEL_lesoir_int"	"Actif"	"Actif"	16388	31	"29"	103	15	"2014-01-01"	"2015-06-30"	16388	8694	7694	7611	6953	5529	"139"	"139"	"139"
1358	"fr"	"CAN"	"jmontr"	"int"	"Le Journal de Montreal"	"quotidien"	"mtl"	NA	NA	NA	"http://www.journaldemontreal.com/"	"fr_CAN_jmontr_int"	"Actif"	"Actif"	6159	16	"17"	53	12	"2014-03-20"	"2015-06-30"	6159	1119	5040	3570	3356	2744	"58"	"58"	"58"
58	"fr"	"DZA"	"elwata"	"int"	"El Watan"	"quotidien"	"alg"	NA	NA	NA	"http://www.elwatan.com/"	"fr_DZA_elwata_int"	"Actif"	"Actif"	2329	5	"4"	21	3	"2014-01-02"	"2015-06-30"	2329	50	2279	1915	1754	1416	"17"	"17"	"17"
60	"fr"	"DZA"	"xpress"	"int"	"LExpression"	"quotidien"	"alg"	NA	NA	NA	"http://www.lexpressiondz.com"	"fr_DZA_xpress_int"	"Actif"	"Actif"	3575	8	"8"	98	5	"2014-01-02"	"2015-06-30"	3575	17	3558	4982	4309	3190	"44"	"44"	"44"
10038	"fr"	"FRA"	"lepari"	"int"	"Le Parisien"	"quotidien"	"sto"	NA	NA	NA	"http://www.leparisien.fr/"	"fr_FRA_lepari_int"	"Actif"	"Actif"	7445	14	"14"	48	7	"2014-01-01"	"2015-06-30"	7445	57	7388	10495	9068	6667	"128"	"128"	"128"
281409	"fr"	"FRA"	"lmonde"	"int"	"Le Monde"	"quotidien"	"par"	NA	NA	NA	"http://lemonde.fr"	"fr_FRA_lmonde_int"	"Actif"	"Actif"	21530	42	"42"	99	17	"2014-01-01"	"2015-06-30"	21530	206	21324	23241	21328	17299	"205"	"205"	"205"

