"AED"	"0"
"AFG"	"9129"
"AFN"	"4"
"AGO"	"211"
"ALB"	"464"
"ALL"	"2"
"AMD"	"0"
"AND"	"32"
"ANG"	"0"
"AOA"	"2"
"APEC"	"410"
"ARE"	"536"
"ARG"	"5628"
"ARM"	"702"
"ARS"	"0"
"ASEAN"	"197"
"AU"	"1323"
"AUD"	"0"
"AUS"	"22882"
"AUT"	"2857"
"AWG"	"0"
"AZE"	"313"
"AZN"	"0"
"BAM"	"0"
"BBD"	"0"
"BDI"	"1085"
"BDT"	"0"
"BEL"	"8192"
"BEN"	"148"
"BFA"	"1055"
"BGD"	"1846"
"BGN"	"0"
"BGR"	"761"
"BHD"	"0"
"BHR"	"608"
"BHS"	"183"
"BIF"	"0"
"BLR"	"1550"
"BLZ"	"43"
"BMD"	"0"
"BND"	"0"
"BOB"	"0"
"BOL"	"1863"
"BOV"	"0"
"BRA"	"10807"
"BRB"	"76"
"BRL"	"0"
"BSD"	"0"
"BTN"	"81"
"BWA"	"82"
"BWP"	"0"
"BYR"	"0"
"BZD"	"0"
"CAD"	"0"
"CAF"	"900"
"CAN"	"6932"
"CCK"	"0"
"CDF"	"0"
"CHE"	"7071"
"CHF"	"0"
"CHL"	"4266"
"CHN"	"32853"
"CHW"	"0"
"CLF"	"0"
"CLP"	"0"
"CMR"	"900"
"CNY"	"0"
"COG"	"1131"
"COK"	"0"
"COL"	"5379"
"COM"	"17"
"COP"	"0"
"COU"	"0"
"CPV"	"24"
"CRC"	"0"
"CRI"	"38"
"CUB"	"6946"
"CUP"	"0"
"CVE"	"0"
"CXR"	"0"
"CYP"	"649"
"CZE"	"856"
"CZK"	"0"
"DEU"	"18899"
"DJF"	"0"
"DJI"	"149"
"DKK"	"0"
"DMA"	"860"
"DNK"	"2157"
"DOM"	"512"
"DOP"	"0"
"DZA"	"2452"
"DZD"	"0"
"ECCAS"	"0"
"ECOWAS"	"63"
"EEK"	"0"
"EGP"	"0"
"EGY"	"11591"
"ERI"	"254"
"ERN"	"0"
"ESH"	"156"
"ESP"	"16720"
"EST"	"374"
"ETB"	"0"
"ETH"	"882"
"EU"	"16919"
"EUR"	"2054"
"FIN"	"671"
"FJD"	"0"
"FJI"	"314"
"FKP"	"0"
"FLK"	"0"
"FRA"	"30839"
"FRO"	"1"
"FTAA"	"4"
"G8"	"229"
"GAB"	"58"
"GBP"	"0"
"GBR"	"63799"
"GEL"	"2"
"GEO"	"1128"
"GHA"	"455"
"GHS"	"1"
"GIN"	"1931"
"GIP"	"0"
"GMB"	"223"
"GMD"	"2"
"GNB"	"65"
"GNF"	"0"
"GNQ"	"21"
"GRC"	"9822"
"GRD"	"1026"
"GRL"	"77"
"GTM"	"809"
"GTQ"	"0"
"GUY"	"244"
"GYD"	"0"
"HKD"	"0"
"HKG"	"92"
"HND"	"674"
"HNL"	"0"
"HRK"	"0"
"HRV"	"429"
"HTG"	"0"
"HTI"	"941"
"HUF"	"7"
"HUN"	"1097"
"IDN"	"5848"
"IDR"	"23"
"ILS"	"0"
"IND"	"23115"
"INR"	"0"
"IQD"	"0"
"IRL"	"2592"
"IRN"	"13800"
"IRQ"	"22305"
"IRR"	"0"
"ISK"	"0"
"ISL"	"504"
"ISR"	"23065"
"ITA"	"13237"
"JAM"	"578"
"JMD"	"0"
"JOD"	"0"
"JOR"	"2967"
"JPN"	"21878"
"JPY"	"1"
"KAZ"	"503"
"KEN"	"3025"
"KES"	"0"
"KGS"	"11"
"KGZ"	"109"
"KHM"	"756"
"KHR"	"2"
"KIR"	"16"
"KMF"	"0"
"KNA"	"6"
"KOR"	"3865"
"KPW"	"0"
"KRW"	"0"
"KWD"	"0"
"KWT"	"776"
"KYD"	"0"
"KZT"	"2"
"LAK"	"2"
"LAS"	"674"
"LBN"	"5500"
"LBP"	"0"
"LBR"	"2711"
"LBY"	"7127"
"LCA"	"13"
"LIE"	"19"
"LKA"	"727"
"LKR"	"0"
